ID,Category,Gender,BirthDate,Age
382,food,female,2003-02-17,20
554,food,female,2003-09-26,20
883,food,female,2002-07-21,21
1420,food,female,2003-07-21,20
2142,food,female,2003-04-11,20
2807,food,female,2003-06-30,20
3019,food,female,2002-11-16,21
3451,food,female,2003-02-13,20
3653,food,female,2002-03-20,21
4035,food,female,2002-09-23,21
4168,food,female,2003-02-20,20
4755,food,female,2003-07-23,20
4817,food,female,2003-09-10,20
4907,food,female,2002-02-19,21
5233,food,female,2002-02-26,21
5542,food,female,2002-05-26,21
6380,food,female,2003-06-05,20
6443,food,female,2002-12-01,21
6485,food,female,2002-12-08,21
6561,food,female,2002-06-04,21
6571,food,female,2003-08-03,20
6616,food,female,2003-06-15,20
6785,food,female,2003-03-03,20
6871,food,female,2002-12-04,21
7937,food,female,2002-03-18,21
8383,food,female,2002-07-22,21
8539,food,female,2003-01-20,20
8651,food,female,2002-11-07,21
8676,food,female,2003-02-24,20
8687,food,female,2003-06-15,20
8750,food,female,2002-12-04,21
9016,food,female,2003-10-21,20
9160,food,female,2003-03-03,20
9302,food,female,2003-12-10,20
9564,food,female,2003-08-06,20
9631,food,female,2002-04-09,21
9796,food,female,2002-03-02,21
9819,food,female,2003-01-24,20
10503,food,female,2002-11-26,21
10748,food,female,2003-09-11,20
10793,food,female,2002-01-26,21
10922,food,female,2003-11-06,20
11097,food,female,2002-10-16,21
11103,food,female,2002-11-27,21
11129,food,female,2002-05-06,21
11417,food,female,2002-05-12,21
12338,food,female,2003-12-05,20
12487,food,female,2003-11-12,20
12519,food,female,2002-03-31,21
12630,food,female,2001-12-29,21
13483,food,female,2003-12-06,20
13762,food,female,2003-09-14,20
14202,food,female,2003-07-15,20
14585,food,female,2002-04-01,21
14690,food,female,2003-02-27,20
15235,food,female,2002-01-11,21
15375,food,female,2003-01-20,20
15409,food,female,2003-10-16,20
16709,food,female,2002-05-03,21
17075,food,female,2002-11-24,21
17109,food,female,2003-02-13,20
17998,food,female,2003-02-22,20
18329,food,female,2002-03-03,21
18893,food,female,2003-03-12,20
19043,food,female,2003-02-02,20
19209,food,female,2002-03-26,21
19228,food,female,2002-12-01,21
19489,food,female,2002-04-24,21
19816,food,female,2002-06-20,21
20096,food,female,2002-01-13,21
20156,food,female,2003-06-02,20
20658,food,female,2002-05-20,21
20949,food,female,2002-08-07,21
21579,food,female,2002-07-03,21
22636,food,female,2003-07-22,20
23170,food,female,2002-03-29,21
23231,food,female,2002-07-05,21
23558,food,female,2001-12-23,21
23691,food,female,2003-11-18,20
23867,food,female,2003-01-20,20
24028,food,female,2002-09-25,21
24095,food,female,2002-10-13,21
24100,food,female,2003-07-15,20
24438,food,female,2003-06-13,20
24514,food,female,2002-02-07,21
25272,food,female,2003-01-22,20
25334,food,female,2003-11-04,20
25565,food,female,2002-03-03,21
